,,,,,,,
,HELM — Meeting Tracker,,,,"Last week: Mar 23 – Mar 29   ·   This week: Mar 30 – Apr 5, 2026",,
,,,,,,,
,Last week — didn't happen,,Last week — happened,,This week — didn't happen,,This week — happened
,0,,0,,0,,0
,,,,,,,
,Last week  ·  Mar 23 – Mar 29  (32 meetings scheduled),,,,,,
,Date,Meeting,Owner,Time,Attendees,Status,Reason if Didn't Happen
,Mon Mar 23,A.M. Agenda,Jamie,—,"Josh, Jamie",,
,Mon Mar 23,Bonita | Josh – Daily Call,Bonita,—,"Josh, Bonita",,
,Mon Mar 23,Daily Call – Asana Board,Regina & Josh,Floating,"Regina, Josh",,
,Mon Mar 23,Daily Recruiter Catch Up,Bonita,10:00 AM,"Bonita, Sapna, Joe, Julio",,
,Mon Mar 23,Huddle,Bonita,9:45 AM,"Josh, Regina, Bonita",,
,Mon Mar 23,Sourcers Check-In,Josh,11:00 AM,Sourcers,,
,Mon Mar 23,Sourcing Partner Call,Bonita,—,—,,
,Mon Mar 23,Weekly Meta Marketing & Strategy,John,2:00 PM,"John, Josh, Bonita",,
,Tue Mar 24,A.M. Agenda,Jamie,—,"Josh, Jamie",,
,Tue Mar 24,Bonita | Josh – Daily Call,Bonita,—,"Josh, Bonita",,
,Tue Mar 24,Daily Call – Asana Board,Regina & Josh,Floating,"Regina, Josh",,
,Tue Mar 24,Daily Recruiter Catch Up,Bonita,10:00 AM,"Bonita, Sapna, Joe, Julio",,
,Wed Mar 25,A.M. Agenda,Jamie,—,"Josh, Jamie",,
,Wed Mar 25,All Hands – Process Improvement,Josh,9:30 AM,Whole Team,,
,Wed Mar 25,All Hands – Process Improvement,Jamie,8:30 AM,Whole Team,,
,Wed Mar 25,Bonita | Josh – Daily Call,Bonita,—,"Josh, Bonita",,
,Wed Mar 25,Daily Call – Asana Board,Regina & Josh,Floating,"Regina, Josh",,
,Wed Mar 25,Daily Recruiter Catch Up,Bonita,10:00 AM,"Bonita, Sapna, Joe, Julio",,
,Wed Mar 25,Sourcers Check-In,Josh,11:00 AM,Sourcers,,
,Thu Mar 26,A.M. Agenda,Jamie,—,"Josh, Jamie",,
,Thu Mar 26,Bonita | Josh – Daily Call,Bonita,—,"Josh, Bonita",,
,Thu Mar 26,Daily Call – Asana Board,Regina & Josh,Floating,"Regina, Josh",,
,Thu Mar 26,Daily Recruiter Catch Up,Bonita,10:00 AM,"Bonita, Sapna, Joe, Julio",,
,Thu Mar 26,Huddle,Bonita,9:45 AM,"Josh, Regina, Bonita",,
,Thu Mar 26,Weekly Roundtable,Regina,10:00 AM,"Regina, Josh",,
,Fri Mar 27,A.M. Agenda,Jamie,—,"Josh, Jamie",,
,Fri Mar 27,Bonita | Josh – Daily Call,Bonita,—,"Josh, Bonita",,
,Fri Mar 27,Complete Marketing Metrics,Bonita,—,Bonita,,
,Fri Mar 27,Daily Call – Asana Board,Regina & Josh,Floating,"Regina, Josh",,
,Fri Mar 27,Daily Recruiter Catch Up,Bonita,10:00 AM,"Bonita, Sapna, Joe, Julio",,
,Fri Mar 27,Sourcers Check-In,Josh,11:00 AM,Sourcers,,
,Fri Mar 27,Weekly Check-In with Ahmed,Regina,12:30 PM,Regina & Ahmed,,
,,,,,,,
,"This week  ·  Mar 30 – Apr 5, 2026  (33 meetings scheduled)",,,,,,
,Date,Meeting,Owner,Time,Attendees,Status,Reason if Didn't Happen
,Mon Mar 30,A.M. Agenda,Jamie,—,"Josh, Jamie",,
,Mon Mar 30,Bonita | Josh – Daily Call,Bonita,—,"Josh, Bonita",,
,Mon Mar 30,Daily Call – Asana Board,Regina & Josh,Floating,"Regina, Josh",,
,Mon Mar 30,Daily Recruiter Catch Up,Bonita,10:00 AM,"Bonita, Sapna, Joe, Julio",,
,Mon Mar 30,Huddle,Bonita,9:45 AM,"Josh, Regina, Bonita",,
,Mon Mar 30,Sourcers Check-In,Josh,11:00 AM,Sourcers,,
,Mon Mar 30,Sourcing Partner Call,Bonita,—,—,,
,Mon Mar 30,Weekly Meta Marketing & Strategy,John,2:00 PM,"John, Josh, Bonita",,
,Tue Mar 31,A.M. Agenda,Jamie,—,"Josh, Jamie",,
,Tue Mar 31,Bonita | Josh – Daily Call,Bonita,—,"Josh, Bonita",,
,Tue Mar 31,Daily Call – Asana Board,Regina & Josh,Floating,"Regina, Josh",,
,Tue Mar 31,Daily Recruiter Catch Up,Bonita,10:00 AM,"Bonita, Sapna, Joe, Julio",,
,Wed Apr 1,A.M. Agenda,Jamie,—,"Josh, Jamie",,
,Wed Apr 1,All Hands – Process Improvement,Josh,9:30 AM,Whole Team,,
,Wed Apr 1,All Hands – Process Improvement,Jamie,8:30 AM,Whole Team,,
,Wed Apr 1,Bonita | Josh – Daily Call,Bonita,—,"Josh, Bonita",,
,Wed Apr 1,Daily Call – Asana Board,Regina & Josh,Floating,"Regina, Josh",,
,Wed Apr 1,Daily Recruiter Catch Up,Bonita,10:00 AM,"Bonita, Sapna, Joe, Julio",,
,Wed Apr 1,Monthly Staffer Check-In,Regina,Varies,1-on-1 with staffers,,
,Wed Apr 1,Sourcers Check-In,Josh,11:00 AM,Sourcers,,
,Thu Apr 2,A.M. Agenda,Jamie,—,"Josh, Jamie",,
,Thu Apr 2,Bonita | Josh – Daily Call,Bonita,—,"Josh, Bonita",,
,Thu Apr 2,Daily Call – Asana Board,Regina & Josh,Floating,"Regina, Josh",,
,Thu Apr 2,Daily Recruiter Catch Up,Bonita,10:00 AM,"Bonita, Sapna, Joe, Julio",,
,Thu Apr 2,Huddle,Bonita,9:45 AM,"Josh, Regina, Bonita",,
,Thu Apr 2,Weekly Roundtable,Regina,10:00 AM,"Regina, Josh",,
,Fri Apr 3,A.M. Agenda,Jamie,—,"Josh, Jamie",,
,Fri Apr 3,Bonita | Josh – Daily Call,Bonita,—,"Josh, Bonita",,
,Fri Apr 3,Complete Marketing Metrics,Bonita,—,Bonita,,
,Fri Apr 3,Daily Call – Asana Board,Regina & Josh,Floating,"Regina, Josh",,
,Fri Apr 3,Daily Recruiter Catch Up,Bonita,10:00 AM,"Bonita, Sapna, Joe, Julio",,
,Fri Apr 3,Sourcers Check-In,Josh,11:00 AM,Sourcers,,
,Fri Apr 3,Weekly Check-In with Ahmed,Regina,12:30 PM,Regina & Ahmed,,
,,,,,,,
,,,,,,,
,Legend:,● Happened,,● Didn't Happen,,● Future / no status,